Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562002036.48399,1.336,-6.532,98.667,0,-62.1561241149902,-480.968109130859,0,69,-53,189,0,240,2104,2048,2560,-19,100,-25
1562002036.48406,1.336,-6.529,98.673,0,-62.3568382263184,-483.106201171875,0,69,-53,189,0,240,2104,2044,2564,45,57,-42
1562002036.4841,1.332,-6.534,98.68,0,-62.6571350097656,-485.370513916016,0,68,-54,188,0,240,2100,2048,2564,0,57,-35
1562002036.48414,1.332,-6.534,98.688,0,-62.9514808654785,-487.3818359375,0,68,-54,188,0,240,2104,2040,2564,-7,90,-27
1562002036.48418,1.329,-6.538,98.696,0,-63.2559623718262,-489.519897460938,0,70,-48,176,0,240,2104,2044,2564,46,61,-42
1562002036.48421,1.329,-6.544,98.703,0,-63.5547866821289,-491.404907226563,0,70,-48,176,0,241,2100,2040,2564,4,51,-37
1562002036.48425,1.329,-6.543,98.711,0,-63.8636856079102,-493.332397460938,0,66,-56,190,0,241,2100,2040,2564,19,85,-34
1562002036.48429,1.328,-6.549,98.719,0,-64.2581100463867,-495.168304443359,0,66,-56,190,0,241,2100,2036,2564,32,54,-40
1562002036.48433,1.329,-6.547,98.728,0,-64.7152862548828,-496.889465332031,0,65,-55,187,0,241,2096,2036,2560,17,53,-41
1562002036.48436,1.327,-6.551,98.735,0,-65.2728118896484,-498.620849609375,0,65,-55,187,0,241,2096,2036,2564,27,70,-25
1562002036.4844,1.328,-6.554,98.742,0,-65.8468475341797,-500.126251220703,0,71,-47,171,0,241,2100,2028,2564,31,57,-35
1562002036.48444,1.328,-6.555,98.749,0,-66.4725570678711,-501.696868896484,0,71,-47,171,0,241,2092,2036,2564,11,50,-39
1562002036.48448,1.328,-6.564,98.755,0,-67.0808792114258,-503.109405517578,0,72,-46,198,0,241,2096,2032,2568,-14,55,-31
1562002036.48451,1.328,-6.567,98.761,0,-67.7517242431641,-504.6123046875,0,72,-46,198,0,241,2096,2032,2564,47,66,-22
1562002036.48455,1.329,-6.575,98.767,0,-68.3981094360352,-506.114990234375,0,63,-51,189,0,241,2096,2036,2564,44,51,-31
1562002036.48458,1.329,-6.576,98.772,0,-69.0474243164063,-507.65478515625,0,63,-51,189,0,241,2096,2036,2564,18,43,-38
1562002036.48462,1.331,-6.574,98.778,0,-69.6782684326172,-509.338928222656,0,63,-49,183,0,241,2096,2040,2564,33,35,-37
1562002036.48466,1.336,-6.573,98.784,0,-70.2397155761719,-511.019927978516,0,63,-49,183,0,241,2100,2040,2564,43,48,-32
1562002036.4847,1.342,-6.569,98.79,0,-70.8079376220703,-512.878051757813,0,64,-48,176,0,241,2100,2040,2568,27,49,-24
1562002036.48474,1.348,-6.569,98.796,0,-71.2118148803711,-514.692810058594,0,64,-48,176,0,241,2104,2040,2564,33,43,-26
1562002036.48477,1.353,-6.567,98.8,0,-71.5326995849609,-516.570007324219,0,63,-43,175,0,241,2108,2044,2564,28,52,-28
1562002036.48481,1.358,-6.566,98.804,0,-71.673469543457,-518.490966796875,0,63,-43,175,0,240,2108,2048,2564,28,53,-26
1562002036.48485,1.363,-6.564,98.808,0,-71.6780090332031,-520.439819335938,0,67,-51,183,0,240,2112,2044,2564,24,54,-27
1562002036.48488,1.369,-6.563,98.813,0,-71.6019515991211,-522.514831542969,0,67,-51,183,0,240,2116,2044,2564,24,57,-34
1562002036.48492,1.375,-6.563,98.819,0,-71.3817443847656,-524.555725097656,0,68,-50,186,0,240,2116,2048,2564,24,59,-39
1562002036.48495,1.381,-6.562,98.827,0,-71.0785598754883,-526.631652832031,0,68,-50,186,0,240,2120,2048,2568,20,61,-43
1562002036.48499,1.388,-6.561,98.836,0,-70.6355056762695,-528.718627929688,0,63,-53,181,0,240,2124,2048,2560,19,69,-48
1562002036.48503,1.394,-6.562,98.846,0,-70.1084060668945,-530.834045410156,0,63,-53,181,0,240,2120,2048,2568,18,69,-49
1562002036.48506,1.4,-6.561,98.859,0,-69.5169982910156,-533.022094726563,0,64,-54,184,0,240,2124,2048,2564,19,74,-53
1562002036.4851,1.404,-6.561,98.872,0,-68.91162109375,-535.181762695313,0,64,-54,184,0,240,2124,2048,2564,19,80,-56
1562002036.48513,1.408,-6.561,98.885,0,-68.2880325317383,-537.298156738281,0,69,-53,183,0,240,2124,2044,2564,19,81,-60
1562002036.48517,1.411,-6.562,98.9,0,-67.7105178833008,-539.344543457031,0,69,-53,183,0,240,2120,2044,2564,19,82,-62
1562002036.4852,1.413,-6.563,98.916,0,-67.2050628662109,-541.299560546875,0,69,-53,181,0,240,2116,2044,2568,19,79,-64
1562002036.48524,1.414,-6.564,98.933,0,-66.8313217163086,-543.203491210938,0,69,-53,181,0,240,2116,2040,2564,21,81,-68
1562002036.48528,1.414,-6.565,98.951,0,-66.6527938842773,-545.031066894531,0,69,-51,179,0,240,2112,2040,2568,23,79,-69
1562002036.48531,1.414,-6.566,98.969,0,-66.5987854003906,-546.7900390625,0,69,-51,179,0,240,2108,2040,2568,22,77,-72
1562002036.48535,1.414,-6.568,98.987,0,-66.7497863769531,-548.492980957031,0,66,-48,182,0,240,2104,2036,2564,21,76,-70
1562002036.4854,1.413,-6.569,99.006,0,-67.0403823852539,-550.112915039063,0,66,-48,182,0,240,2100,2036,2568,23,73,-71
1562002036.48547,1.411,-6.571,99.025,0,-67.5496978759766,-551.678100585938,0,69,-49,177,0,240,2096,2036,2568,27,69,-70
1562002036.48553,1.408,-6.573,99.043,0,-68.2812576293945,-553.210021972656,0,69,-49,177,0,240,2092,2036,2568,26,66,-68
1562002036.48557,1.406,-6.575,99.061,0,-69.1612930297852,-554.72265625,0,66,-52,180,0,240,2092,2036,2564,29,59,-70
1562002036.48561,1.405,-6.575,99.078,0,-70.2109298706055,-556.260437011719,0,66,-52,180,0,240,2088,2036,2568,26,52,-70
1562002036.48567,1.404,-6.576,99.096,0,-71.3432312011719,-557.837463378906,0,65,-49,179,0,240,2084,2040,2568,26,53,-68
1562002036.48574,1.404,-6.576,99.113,0,-72.6070785522461,-559.459350585938,0,65,-49,179,0,240,2084,2040,2564,26,47,-71
1562002036.48581,1.404,-6.577,99.13,0,-73.9734725952148,-561.201904296875,0,66,-58,182,0,240,2084,2044,2564,18,46,-69
1562002036.48587,1.405,-6.577,99.147,0,-75.3808746337891,-563.006042480469,0,66,-58,182,0,240,2084,2044,2568,19,40,-68
1562002036.48592,1.406,-6.578,99.164,0,-76.8131637573242,-564.920349121094,0,72,-44,186,0,240,2084,2044,2564,18,40,-68
1562002036.48596,1.409,-6.579,99.181,0,-78.192512512207,-566.889099121094,0,72,-44,186,0,240,2084,2048,2568,20,37,-67
